date,Tmax,heat_risk_score,risk_category,mortality_RR,hospitalization_RR,health_interpretation
2018-01-01,27.1,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-02,27.1,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-03,27.0,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-04,27.2,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-05,26.1,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-06,25.7,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-07,25.9,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-08,27.1,7.5,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-09,28.0,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-10,28.7,0.0,LOW,1.013,1.0,Elevated heat-related health risk
2018-01-11,28.8,0.0,LOW,1.015,1.0,Elevated heat-related health risk
2018-01-12,29.9,0.0,LOW,1.037,1.0,Elevated heat-related health risk
2018-01-13,28.9,0.0,LOW,1.017,1.0,Elevated heat-related health risk
2018-01-14,30.9,17.5,LOW,1.057,1.0,Elevated heat-related health risk
2018-01-15,31.1,17.5,LOW,1.061,1.0,Elevated heat-related health risk
2018-01-16,30.5,7.5,LOW,1.049,1.0,Elevated heat-related health risk
2018-01-17,28.7,0.0,LOW,1.013,1.0,Elevated heat-related health risk
2018-01-18,28.8,0.0,LOW,1.015,1.0,Elevated heat-related health risk
2018-01-19,28.3,0.0,LOW,1.006,1.0,Elevated heat-related health risk
2018-01-20,29.1,0.0,LOW,1.021,1.0,Elevated heat-related health risk
2018-01-21,29.9,0.0,LOW,1.037,1.0,Elevated heat-related health risk
2018-01-22,28.8,0.0,LOW,1.015,1.0,Elevated heat-related health risk
2018-01-23,26.7,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-24,26.8,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-25,26.7,0.0,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-26,27.2,7.5,LOW,1.0,1.0,Baseline heat-related health risk
2018-01-27,28.2,7.5,LOW,1.004,1.0,Elevated heat-related health risk
2018-01-28,28.4,0.0,LOW,1.008,1.0,Elevated heat-related health risk
2018-01-29,29.2,0.0,LOW,1.023,1.0,Elevated heat-related health risk
2018-01-30,30.5,7.5,LOW,1.049,1.0,Elevated heat-related health risk
2018-01-31,31.6,17.5,LOW,1.071,1.0,Elevated heat-related health risk
2018-02-01,31.0,7.5,LOW,1.059,1.0,Elevated heat-related health risk
2018-02-02,29.9,0.0,LOW,1.037,1.0,Elevated heat-related health risk
2018-02-03,29.7,0.0,LOW,1.033,1.0,Elevated heat-related health risk
2018-02-04,29.9,0.0,LOW,1.037,1.0,Elevated heat-related health risk
2018-02-05,30.4,7.5,LOW,1.047,1.0,Elevated heat-related health risk
