date,Tmax,Tmean,RH_mean,HI_max,WBGT_max,heat_severity,temperature_score,heat_index_score,wbgt_score,heat_risk_score,risk_category,heat_streak,mortality_RR
2018-01-01,27.1,20.81578947368421,47.578947368421055,28.94307188711107,22.05105046824696,24.807859035792603,0,0,0,0.0,LOW,0,1.0
2018-01-02,27.1,19.79583333333333,47.375,28.48240690299552,20.657765463034654,23.787622039019,0,0,0,0.0,LOW,0,1.0
2018-01-03,27.0,19.508333333333333,43.75,29.9074829880711,20.538298079185303,24.285972042739623,0,0,0,0.0,LOW,0,1.0
2018-01-04,27.2,19.258333333333333,51.583333333333336,30.484956058737744,22.326738227253703,25.590025359847324,0,0,0,0.0,LOW,0,1.0
2018-01-05,26.1,18.425,55.91666666666666,29.419011171277816,20.007253581313183,23.77195661729904,0,0,0,0.0,LOW,0,1.0
2018-01-06,25.7,18.60833333333333,58.208333333333336,26.51023803682448,20.72076563451237,23.036554595437217,0,0,0,0.0,LOW,0,1.0
2018-01-07,25.9,18.995833333333334,44.66666666666666,31.67155846943784,20.028844287279824,24.68592996014303,0,0,0,0.0,LOW,0,1.0
2018-01-08,27.1,19.225,47.5,32.011698269315524,20.74720911275633,25.253004775380013,0,25,0,7.5,LOW,0,1.0
2018-01-09,28.0,21.05,46.125,27.63876735183117,21.567005365343864,23.99571015993879,0,0,0,0.0,LOW,0,1.0
2018-01-10,28.7,21.6875,46.04166666666666,27.62912928165112,21.97811249759603,24.238519211218065,0,0,0,0.0,LOW,0,1.013
2018-01-11,28.8,21.941666666666663,46.875,27.656177130791125,21.82661701322853,24.158441060253573,0,0,0,0.0,LOW,0,1.015
2018-01-12,29.9,23.65416666666667,46.458333333333336,28.73268675051561,23.496124687301663,25.590749512587244,0,0,0,0.0,LOW,0,1.037
2018-01-13,28.9,23.98333333333333,49.16666666666666,28.25872694427555,22.401902855357505,24.74463249092472,0,0,0,0.0,LOW,0,1.017
2018-01-14,30.9,24.5125,55.79166666666666,31.07249054955561,25.53184616636329,27.74810391964022,25,0,25,17.5,LOW,0,1.057
2018-01-15,31.1,23.808333333333334,53.75,30.373094376737843,25.428326979164456,27.40623393819381,25,0,25,17.5,LOW,0,1.061
2018-01-16,30.5,22.9125,52.625,29.31401876955556,24.266500711662168,26.285507934819528,25,0,0,7.5,LOW,0,1.049
2018-01-17,28.7,22.2625,54.958333333333336,27.781509353475567,23.27920123716113,25.08012448368691,0,0,0,0.0,LOW,0,1.013
2018-01-18,28.8,21.1125,55.375,27.765672245795567,23.06759574165688,24.946826343312352,0,0,0,0.0,LOW,0,1.015
2018-01-19,28.3,20.35833333333333,52.125,27.06843281415785,21.655843420412538,23.820879177910665,0,0,0,0.0,LOW,0,1.006
2018-01-20,29.1,20.75,49.208333333333336,29.93825400660442,22.78181606632434,25.64439124243637,0,0,0,0.0,LOW,0,1.021
2018-01-21,29.9,21.95833333333333,48.833333333333336,28.6597882547711,24.076837842709985,25.910018007534436,0,0,0,0.0,LOW,0,1.037
2018-01-22,28.8,21.683333333333334,46.708333333333336,27.95237541043558,23.735118533961963,25.42202128455141,0,0,0,0.0,LOW,0,1.015
2018-01-23,26.7,20.216666666666665,55.708333333333336,26.1994950162312,20.78463987283825,22.950581930195437,0,0,0,0.0,LOW,0,1.0
2018-01-24,26.8,19.566666666666663,49.833333333333336,29.47723348011556,20.645415048649635,24.178142421236004,0,0,0,0.0,LOW,0,1.0
2018-01-25,26.7,18.53333333333333,47.79166666666666,31.93012809047112,20.699267322619587,25.1916116297602,0,0,0,0.0,LOW,0,1.0
2018-01-26,27.2,18.9625,46.66666666666666,32.5525521194578,20.67592077980731,25.426573315667504,0,25,0,7.5,LOW,0,1.0
2018-01-27,28.2,19.641666666666666,45.79166666666666,32.23940900508444,21.93854807460856,26.058892446798914,0,25,0,7.5,LOW,0,1.004
2018-01-28,28.4,19.6875,48.41666666666666,30.08116649335779,22.02051856190952,25.244777734488828,0,0,0,0.0,LOW,0,1.008
2018-01-29,29.2,19.9875,48.958333333333336,30.62432095923558,22.1689271343028,25.551084664275912,0,0,0,0.0,LOW,0,1.023
2018-01-30,30.5,20.975,52.41666666666666,29.12877022961773,24.137880060750284,26.13423612829726,25,0,0,7.5,LOW,0,1.049
2018-01-31,31.6,22.52916666666667,50.875,30.471727980675634,25.109136798737914,27.254173271513004,25,0,25,17.5,LOW,0,1.071
2018-02-01,31.0,22.46666666666667,51.54166666666666,29.40807361377784,24.464995406781696,26.442226689580156,25,0,0,7.5,LOW,0,1.059
2018-02-02,29.9,22.916666666666668,47.0,28.59101792383114,23.51887172948116,25.547730207221157,0,0,0,0.0,LOW,0,1.037
2018-02-03,29.7,21.6,47.708333333333336,28.23903433431787,23.17365026456584,25.19980389246665,0,0,0,0.0,LOW,0,1.033
2018-02-04,29.9,21.995833333333334,43.41666666666666,28.40947591983784,23.56315995213632,25.501686339216928,0,0,0,0.0,LOW,0,1.037
2018-02-05,30.4,22.820833333333336,48.54166666666666,29.05500129463114,24.255955655211984,26.175573910979644,25,0,0,7.5,LOW,0,1.047
2018-02-06,26.1,22.308333333333334,63.75,26.640949287704505,21.57550752262094,23.601684228654364,0,0,0,0.0,LOW,0,1.0
2018-02-07,30.2,23.4125,54.333333333333336,29.10131137292449,24.86487092306546,26.55944710300907,25,0,0,7.5,LOW,0,1.043
2018-02-08,29.1,21.575,38.0,27.89152640259552,21.91791024839045,24.30735671007248,0,0,0,0.0,LOW,0,1.021
2018-02-09,28.5,20.866666666666667,34.625,31.172084880764423,21.11814013372562,25.139718032541143,0,0,0,0.0,LOW,0,1.01
2018-02-10,28.4,20.929166666666667,44.75,29.60625284977784,22.13214807460856,25.12178998467627,0,0,0,0.0,LOW,0,1.008
2018-02-11,27.4,21.25,63.875,27.00399695187552,23.005913806859425,24.60514706486586,0,0,0,0.0,LOW,0,1.0
2018-02-12,28.0,21.275,49.41666666666666,26.966970572444488,22.357007693742663,24.200992845223396,0,0,0,0.0,LOW,0,1.0
2018-02-13,29.3,21.683333333333334,41.625,28.507760487695595,22.26436002548943,24.761720210371895,0,0,0,0.0,LOW,0,1.025
2018-02-14,28.9,22.570833333333336,39.5,27.54942127531563,21.320409499407592,23.81201420977081,0,0,0,0.0,LOW,0,1.017
2018-02-15,30.2,22.433333333333334,41.91666666666666,28.563776565457843,23.154920311690127,25.31846281319721,25,0,0,7.5,LOW,0,1.043
2018-02-16,31.3,22.72083333333333,46.625,29.69838415191777,25.178252389038946,26.98630509419048,25,0,25,17.5,LOW,0,1.065
2018-02-17,31.7,23.429166666666664,42.91666666666666,29.80980657513561,24.49140416446861,26.61876512873541,25,0,0,7.5,LOW,0,1.073
2018-02-18,31.9,23.758333333333336,48.79166666666666,30.21729092971561,24.955971551322907,27.060499302679982,25,0,0,7.5,LOW,0,1.077
2018-02-19,32.4,24.766666666666666,51.625,31.039625888195587,26.3767726561442,28.241913948964758,25,0,25,17.5,LOW,0,1.087
2018-02-20,33.2,24.9375,47.125,31.640587061075607,26.220402500025852,28.388476324445755,25,0,25,17.5,LOW,0,1.104
2018-02-21,33.6,25.016666666666666,45.958333333333336,31.72578458067556,26.42019297246061,28.54242961574659,25,0,25,17.5,LOW,0,1.113
2018-02-22,33.4,25.3875,46.29166666666666,31.71400140129783,26.41191628358197,28.532750330668318,25,0,25,17.5,LOW,0,1.108
2018-02-23,33.0,25.441666666666663,47.5,31.729876451555533,26.562471329081536,28.62943337807113,25,0,25,17.5,LOW,0,1.1
2018-02-24,32.8,25.508333333333336,41.41666666666666,31.503723487991167,26.549799224932627,28.53136893015604,25,0,25,17.5,LOW,0,1.096
2018-02-25,34.4,26.616666666666664,40.5,32.61451366180447,26.24719033084452,28.7941196632285,25,25,25,25.0,MODERATE,0,1.13
2018-02-26,34.9,26.8875,37.54166666666666,33.317617835084455,26.948512180972664,29.49615444261738,25,25,25,25.0,MODERATE,0,1.141
2018-02-27,34.9,27.191666666666663,40.04166666666666,33.317617835084455,27.289061192877107,29.700483849760047,25,25,25,25.0,MODERATE,0,1.141
2018-02-28,35.8,27.77916666666667,36.875,33.98210396095111,27.62662016443791,30.16881368304319,50,25,25,32.5,MODERATE,0,1.16
2018-03-01,35.3,28.05,33.75,33.512285298551134,27.18985475914373,29.71882697490669,50,25,25,32.5,MODERATE,0,1.149
2018-03-02,35.0,27.71666666666667,34.375,33.052885393271126,26.777871025693333,29.28787677272445,50,25,25,32.5,MODERATE,0,1.143
2018-03-03,34.0,26.604166666666668,37.0,31.874596907555592,24.916408367489858,27.69968378351615,25,0,0,7.5,LOW,0,1.121
2018-03-04,32.9,26.21666666666667,41.708333333333336,30.9908202365756,25.268042231839107,27.557153433733703,25,0,25,17.5,LOW,0,1.098
2018-03-05,33.7,26.29583333333333,39.41666666666666,31.83354879273561,26.520014173969088,28.64542802147569,25,0,25,17.5,LOW,0,1.115
2018-03-06,34.3,26.366666666666664,34.708333333333336,32.186081852435564,26.065496571263218,28.51373068373216,25,25,25,25.0,MODERATE,0,1.128
2018-03-07,34.8,26.77916666666667,33.875,32.93966334775118,26.077347415202183,28.822273788221786,25,25,25,25.0,MODERATE,0,1.138
2018-03-08,35.7,27.5625,37.91666666666666,34.46791006335781,27.66834549084075,30.38817131984757,50,25,25,32.5,MODERATE,0,1.158
2018-03-09,35.2,27.2125,41.41666666666666,33.53309114643562,27.417898083030003,29.86397530839225,50,25,25,32.5,MODERATE,0,1.147
2018-03-10,34.8,26.808333333333334,41.16666666666666,33.19860046300449,27.645722804607423,29.866873867966248,25,25,25,25.0,MODERATE,0,1.138
2018-03-11,35.0,26.616666666666664,42.125,33.297485255555564,27.40581233693953,29.762481504385946,50,25,25,32.5,MODERATE,0,1.143
2018-03-12,35.2,26.54583333333333,37.333333333333336,32.70172536972448,26.579247921428745,29.02823890074704,50,25,25,32.5,MODERATE,0,1.147
2018-03-13,34.1,26.65416666666667,35.083333333333336,32.38601230228451,26.51992151363524,28.866357829094948,25,25,25,25.0,MODERATE,0,1.123
2018-03-14,33.7,26.741666666666664,35.458333333333336,31.737198220151136,25.340854662433784,27.899392085520724,25,0,25,17.5,LOW,0,1.115
2018-03-15,34.6,26.775,41.54166666666666,32.2497655197156,25.9367046002875,28.46192896805874,25,25,25,25.0,MODERATE,0,1.134
2018-03-16,34.7,27.2875,36.25,32.513790301704454,26.35621883842592,28.81924742373733,25,25,25,25.0,MODERATE,0,1.136
2018-03-17,35.6,28.558333333333334,29.95833333333333,33.17424100273779,26.38509040630331,29.100750644877103,50,25,25,32.5,MODERATE,0,1.156
2018-03-18,35.0,27.73333333333333,30.041666666666668,33.04518861111118,26.21644625619874,28.94794319816372,50,25,25,32.5,MODERATE,0,1.143
2018-03-19,34.2,27.979166666666668,34.875,32.62543038465787,25.97413854379508,28.634655280140198,25,25,25,25.0,MODERATE,0,1.125
2018-03-20,34.5,27.575,36.333333333333336,32.3965806535556,25.731711448831263,28.397659130721,25,25,25,25.0,MODERATE,0,1.132
2018-03-21,33.5,26.491666666666664,36.125,31.44307054461113,26.249846166363287,28.327135917662424,25,0,25,17.5,LOW,0,1.111
2018-03-22,33.7,27.0,37.25,31.49560809410445,25.45708310832557,27.87249310263712,25,0,25,17.5,LOW,0,1.115
2018-03-23,34.9,27.1375,31.916666666666668,32.54963279281558,25.7797366847168,28.48769512795631,25,25,25,25.0,MODERATE,0,1.141
2018-03-24,36.3,28.85,28.291666666666668,34.00176045049556,26.52997035663353,29.518686394178346,50,25,25,32.5,MODERATE,0,1.171
2018-03-25,37.6,30.175,24.58333333333333,35.137765544764484,26.88603820112609,30.18672913858145,50,25,25,32.5,MODERATE,0,1.201
2018-03-26,38.3,30.016666666666666,24.166666666666668,35.88723762042444,27.672534339094497,30.958415651626478,50,25,25,32.5,MODERATE,0,1.217
2018-03-27,38.3,29.416666666666668,25.291666666666668,35.596387973091126,27.711653785765463,30.865547460695726,50,25,25,32.5,MODERATE,0,1.217
