latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.022846,72.60188,53.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),shortwave_radiation_instant (W/m²)
2018-01-01T00:00,14.9,61,7.4,9.7,0.0
2018-01-01T01:00,14.3,64,7.5,9.2,0.0
2018-01-01T02:00,14.0,66,7.7,8.4,0.0
2018-01-01T03:00,16.2,59,8.2,10.4,136.4
2018-01-01T04:00,19.1,52,9.1,9.7,326.4
2018-01-01T05:00,21.6,49,10.4,9.7,503.1
2018-01-01T06:00,23.7,45,11.2,7.9,627.1
2018-01-01T07:00,25.4,42,11.5,6.8,684.7
2018-01-01T08:00,26.5,38,11.1,6.6,672.1
2018-01-01T09:00,27.1,33,9.6,7.2,590.0
2018-01-01T10:00,27.1,32,8.8,6.9,449.1
2018-01-01T11:00,26.7,32,8.6,8.0,266.8
2018-01-01T12:00,23.9,44,10.8,5.9,79.1
2018-01-01T13:00,21.2,48,9.7,8.2,0.0
2018-01-01T14:00,20.1,50,9.3,9.9,0.0
2018-01-01T15:00,19.5,50,8.7,11.7,0.0
2018-01-01T16:00,18.9,47,7.2,12.1,0.0
2018-01-01T17:00,18.1,45,6.1,11.2,0.0
2018-01-01T18:00,17.2,47,5.8,11.3,0.0
2018-01-01T19:00,16.1,52,6.3,9.7,0.0
2018-01-01T20:00,15.8,53,6.2,10.7,0.0
2018-01-01T21:00,15.5,52,5.7,12.1,0.0
2018-01-01T22:00,15.3,55,6.4,11.7,0.0
2018-01-01T23:00,15.2,57,6.7,12.3,0.0
2018-01-02T00:00,15.0,61,7.6,13.2,0.0
2018-01-02T01:00,15.0,60,7.3,14.2,0.0
2018-01-02T02:00,15.0,60,7.4,14.8,0.0
2018-01-02T03:00,16.8,56,7.9,16.9,136.9
2018-01-02T04:00,19.4,49,8.3,17.9,326.7
2018-01-02T05:00,21.8,44,8.9,18.6,502.1
2018-01-02T06:00,23.8,40,9.3,17.6,627.3
2018-01-02T07:00,25.4,37,9.6,16.8,686.0
2018-01-02T08:00,26.5,34,9.5,16.5,674.3
2018-01-02T09:00,27.0,33,9.3,15.1,594.0
2018-01-02T10:00,27.1,32,9.0,13.6,452.1
